Country,Date,Case
Turkey,20.03.2020,359
Turkey,19.03.2020,192
Turkey,18.03.2020,98
Turkey,17.03.2020,47
Turkey,16.03.2020,18
Turkey,15.03.2020,6
Turkey,14.03.2020,5
Turkey,13.03.2020,5
Turkey,12.03.2020,1
Turkey,11.03.2020,1
Turkey,10.03.2020,0
Turkey,09.03.2020,0
Turkey,08.03.2020,0
Turkey,07.03.2020,0
Turkey,06.03.2020,0
Turkey,05.03.2020,0
Turkey,04.03.2020,0
Turkey,03.03.2020,0
Turkey,02.03.2020,0
Turkey,01.03.2020,0
Turkey,29.02.2020,0
Turkey,28.02.2020,0
Turkey,27.02.2020,0
Turkey,26.02.2020,0
Turkey,25.02.2020,0
Turkey,24.02.2020,0
Turkey,23.02.2020,0
Turkey,22.02.2020,0
Turkey,21.02.2020,0
Turkey,20.02.2020,0
Turkey,19.02.2020,0
Turkey,18.02.2020,0
Turkey,17.02.2020,0
Turkey,16.02.2020,0
Turkey,15.02.2020,0
Turkey,14.02.2020,0
Turkey,13.02.2020,0
Turkey,12.02.2020,0
Turkey,11.02.2020,0
Turkey,10.02.2020,0
Turkey,09.02.2020,0
Turkey,08.02.2020,0
Turkey,07.02.2020,0
Turkey,06.02.2020,0
Turkey,05.02.2020,0
Turkey,04.02.2020,0
Turkey,03.02.2020,0
Turkey,02.02.2020,0
Turkey,01.02.2020,0
Turkey,31.01.2020,0
Turkey,30.01.2020,0
Turkey,29.01.2020,0
Turkey,28.01.2020,0
Turkey,27.01.2020,0
Turkey,26.01.2020,0
Turkey,25.01.2020,0
Turkey,24.01.2020,0
Turkey,23.01.2020,0
Turkey,22.01.2020,0
